,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
16729,160329,2006,160329,64768,0.0386,064768,GOOGL,Alphabet Inc.,0001652044,7389,AMZN,Amazon.com Inc.
16795,001690,2007,1690,12141,0.0209,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
16874,001690,2007,1690,160329,0.0076,160329,AAPL,Apple Inc.,0000320193,3571,GOOGL,Alphabet Inc.
16891,002184,2007,2184,4016,0.0097,004016,BBY,Best Buy Co. Inc.,0000764478,5731,DG,Dollar General Corp.
16896,002184,2007,2184,6829,0.004,006829,BBY,Best Buy Co. Inc.,0000764478,5731,LOW,Lowes Companies Inc.
16899,002184,2007,2184,11672,0.0237,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
16911,002184,2007,2184,31587,0.0059,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
16932,004016,2007,4016,2184,0.0097,002184,DG,Dollar General Corp.,0000029534,5331,BBY,Best Buy Co. Inc.
16942,004016,2007,4016,6502,0.0014,006502,DG,Dollar General Corp.,0000029534,5331,KR,Kroger Co.
16943,004016,2007,4016,6829,0.0042,006829,DG,Dollar General Corp.,0000029534,5331,LOW,Lowes Companies Inc.
16946,004016,2007,4016,11259,0.0259,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
16948,004016,2007,4016,11672,0.0097,011672,DG,Dollar General Corp.,0000029534,5331,TJX,TJX Companies Inc.
16965,004016,2007,4016,31587,0.0727,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
16999,005680,2007,5680,6829,0.0217,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
17005,006502,2007,6502,4016,0.0014,004016,KR,Kroger Co.,0000056873,5411,DG,Dollar General Corp.
17015,006502,2007,6502,11259,0.0553,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
17022,006502,2007,6502,31587,0.0007,031587,KR,Kroger Co.,0000056873,5411,DLTR,Dollar Tree Inc.
17024,006829,2007,6829,2184,0.004,002184,LOW,Lowes Companies Inc.,0000060667,5251,BBY,Best Buy Co. Inc.
17026,006829,2007,6829,4016,0.0042,004016,LOW,Lowes Companies Inc.,0000060667,5251,DG,Dollar General Corp.
17028,006829,2007,6829,5680,0.0217,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
17038,006829,2007,6829,31587,0.0145,031587,LOW,Lowes Companies Inc.,0000060667,5251,DLTR,Dollar Tree Inc.
17161,011259,2007,11259,4016,0.0259,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
17166,011259,2007,11259,6502,0.0553,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
17180,011259,2007,11259,11672,0.0833,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
17226,011672,2007,11672,2184,0.0237,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
17231,011672,2007,11672,4016,0.0097,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
17248,011672,2007,11672,11259,0.0833,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
17309,012141,2007,12141,1690,0.0209,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
17413,031587,2007,31587,2184,0.0059,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
17417,031587,2007,31587,4016,0.0727,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
17423,031587,2007,31587,6502,0.0007,006502,DLTR,Dollar Tree Inc.,0000935703,5331,KR,Kroger Co.
17425,031587,2007,31587,6829,0.0145,006829,DLTR,Dollar Tree Inc.,0000935703,5331,LOW,Lowes Companies Inc.
17492,064768,2007,64768,160329,0.0253,160329,AMZN,Amazon.com Inc.,0001018724,5961,GOOGL,Alphabet Inc.
17500,160329,2007,160329,1690,0.0076,001690,GOOGL,Alphabet Inc.,0001652044,7389,AAPL,Apple Inc.
17519,160329,2007,160329,64768,0.0253,064768,GOOGL,Alphabet Inc.,0001652044,7389,AMZN,Amazon.com Inc.
17583,001690,2008,1690,12141,0.0217,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
17664,001690,2008,1690,160329,0.0142,160329,AAPL,Apple Inc.,0000320193,3571,GOOGL,Alphabet Inc.
17688,002184,2008,2184,11672,0.1056,011672,BBY,Best Buy Co. Inc.,0000764478,5731,TJX,TJX Companies Inc.
17744,004016,2008,4016,31587,0.066,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
17778,005680,2008,5680,6829,0.0004,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
17790,006502,2008,6502,11259,0.0688,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
17799,006829,2008,6829,5680,0.0004,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
17809,006829,2008,6829,31587,0.0078,031587,LOW,Lowes Companies Inc.,0000060667,5251,DLTR,Dollar Tree Inc.
17847,007241,2008,7241,11264,0.0147,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
17949,011259,2008,11259,6502,0.0688,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
17964,011259,2008,11259,31587,0.0133,031587,WMT,Walmart Inc.,0000104169,5331,DLTR,Dollar Tree Inc.
17970,011264,2008,11264,7241,0.0147,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
17975,011672,2008,11672,2184,0.1056,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
18039,011672,2008,11672,31587,0.0053,031587,TJX,TJX Companies Inc.,0000109198,5651,DLTR,Dollar Tree Inc.
18086,012141,2008,12141,1690,0.0217,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
